Benchmark,Baseline,AIC-Acc (%)
MMDA,DocOwl2,29.577464788732396
MMDA,GPT-5,46.478873239436616
MMDA,M3DocRAG,47.417840375586856
MMDA,MoDora,61.666666666666664
MMDA,QUEST,15.68075117370892
MMDA,SV-RAG,37.74647887323944
MMDA,TextRAG,36.244131455399064
MMDA,UDOP,15.774647887323944
MMDA,ZenDB,47.136150234741784
